id,material_name,material_type,strength_rating,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,created_at,co2_impact_index,cost_efficiency_index,material_suitability_score,strength_rating_scaled,weight_capacity_kg_scaled,biodegradability_score_scaled,co2_emission_score_scaled,recyclability_percent_scaled,cost_per_unit_scaled
14.0,Bioplastic Material 14,Bioplastic,4.2,16.22,9.78,8.02,54.46,1.64,2026-02-15 21:29:14.914260,3.652308,2.5609756097560976,20.952,-1.5904160680020911,-0.9507933295008784,1.7457995232456258,1.3167694911464254,-0.5430816513222996,-0.946159025973279
15.0,Recycled Paper Material 15,Recycled Paper,7.07,15.65,3.6,6.57,75.6,3.38,2026-02-15 21:29:14.914260,1.6030800000000007,2.0917159763313613,26.587999999999997,0.09729871144994169,-0.9875922935864249,-1.4683757520975933,0.6900148770126613,0.5489132407173749,0.11713083168261416
16.0,Bamboo Material 16,Bamboo,5.91,11.7,4.26,8.87,90.26,2.93,2026-02-15 21:29:14.914260,0.8639379999999993,2.0170648464163823,30.72,-0.5848438474923434,-1.2426026587406516,-1.1251143149250165,1.6841773683972527,1.306181221668257,-0.1578579246077029
17.0,Bioplastic Material 17,Bioplastic,9.69,29.8,8.69,5.59,98.72,1.63,2026-02-15 21:29:14.914260,0.07155200000000018,5.9447852760736195,36.099,1.638000008371309,-0.07407415005925885,1.178898058824249,0.2664152067705306,1.7431858000341813,-0.952269887224175
18.0,Molded Fiber Material 18,Molded Fiber,5.1,35.06,9.51,6.2,94.08,4.47,2026-02-15 21:29:14.914260,0.3670400000000002,1.1409395973154361,33.117,-1.061167530891698,0.26550927290561005,1.6053743898568447,0.5300843892681834,1.5035048019706008,0.7832147080302713
19.0,Bioplastic Material 19,Bioplastic,5.8,39.47,4.66,4.14,99.38,1.8,2026-02-15 21:29:14.914260,0.02566800000000039,3.222222222222222,33.532,-0.6495297798058361,0.5502170476727336,-0.9170770802749698,-0.360339407363234,1.7772783557932248,-0.8483852459589439
20.0,Molded Fiber Material 20,Molded Fiber,7.51,17.44,4.82,3.08,49.83,1.87,2026-02-15 21:29:14.914260,1.545236,4.016042780748663,19.398999999999997,0.35604244070391156,-0.8720306344405855,-0.8338621864149511,-0.8185186425230893,-0.7822460955107432,-0.8056092172026723
21.0,Molded Fiber Material 21,Molded Fiber,4.43,41.36,6.25,6.97,65.225,4.64,2026-02-15 21:29:14.914260,2.4238174999999997,0.9547413793103449,23.2145,-1.4551636640738796,0.6722346654300725,-0.09012907254103476,0.8629127016012857,0.012988595262709493,0.8870993492955023
22.0,Molded Fiber Material 22,Molded Fiber,7.38,15.52,5.79,6.89,65.225,0.8,2026-02-15 21:29:14.914260,2.3959975,9.225,24.2565,0.2795954297879659,-0.9959850397813742,-0.32937189238858827,0.8283331366835608,0.012988595262709493,-1.4594713710485379
23.0,Bioplastic Material 23,Bioplastic,6.18,53.6,5.63,4.2,68.04,2.22,2026-02-15 21:29:14.914260,1.3423199999999995,2.7837837837837833,24.573,-0.4260692863592256,1.4624439994776,-0.412586786248607,-0.33440473367494006,0.15839851111378317,-0.5917290734213144
24.0,Glass Material 24,Glass,7.99,46.17,6.6,8.4,93.45,0.47,2026-02-15 21:29:14.914260,0.5502,17.0,33.211,0.6383083271627884,0.982766274643194,0.0919035077777558,1.4810224245056192,1.4709619078369682,-1.6611297923281039
25.0,Recycled Paper Material 25,Recycled Paper,9.2,57.25,5.11,2.4,40.77,1.0,2026-02-15 21:29:14.914260,1.4215200000000001,9.2,17.444,1.3498535826112057,1.6980864887973282,-0.6830351912936673,-1.1124449443237512,-1.2502439063848894,-1.337254146030619
26.0,Bamboo Material 26,Bamboo,8.84,56.72,5.69,4.58,75.19,1.98,2026-02-15 21:29:14.914260,1.136298,4.4646464646464645,27.799999999999997,1.1381541677670488,1.6638699081563812,-0.38138120105109974,-0.17015180031574664,0.527734531836757,-0.7383897434428172
27.0,Recycled Paper Material 27,Recycled Paper,6.88,22.8,3.63,1.04,49.12,3.86,2026-02-15 21:29:14.914260,0.5291520000000001,1.7823834196891193,18.576999999999998,-0.014431535273363834,-0.5259912528642173,-1.4527729594988399,-1.7002975479250753,-0.8189214206454721,0.41045217172561915
28.0,Molded Fiber Material 28,Molded Fiber,9.12,12.89,8.39,4.9,65.0,3.125,2026-02-15 21:29:14.914260,1.715,2.9183999999999997,25.665,1.302809268201393,-1.1657767512638084,1.0228701328367147,-0.031833540644846774,0.0013661330721266814,-0.038696130215232195
29.0,Recycled Paper Material 29,Recycled Paper,6.5,38.58,6.16,3.64,37.81,0.74,2026-02-15 21:29:14.914260,2.2637159999999996,8.783783783783784,15.791,-0.23789202871997436,0.49275901603038885,-0.13693745033729515,-0.5764616880990147,-1.4031438534254492,-1.4961365385539134
30.0,Molded Fiber Material 30,Molded Fiber,6.45,39.39,6.1,1.42,71.53,5.76,2026-02-15 21:29:14.914260,0.4042739999999999,1.1197916666666667,25.869,-0.26729472522610725,0.5450522807835342,-0.16814303553480242,-1.5360446145658817,0.3386758135366053,1.5715158093958475
31.0,Compostable Polymer Material 31,Compostable Polymer,5.73,52.62,7.32,2.1,84.84,5.57,2026-02-15 21:29:14.914260,0.3183599999999999,1.0287253141831239,29.94,-0.690693554914422,1.3991756050849056,0.46637053014783997,-1.2421183127652198,1.0262090213439883,1.455409445628825
32.0,Recycled Paper Material 32,Recycled Paper,5.69,47.56,3.75,1.51,73.38,2.97,2026-02-15 21:29:14.914260,0.401962,1.9158249158249159,25.415,-0.7142157121193283,1.072504099343036,-1.3903617891038258,-1.4971426040334412,0.434238280436955,-0.13341447960411912
33.0,Recycled Paper Material 33,Recycled Paper,6.05,4.73,5.4,4.9,51.06,4.22,2026-02-15 21:29:14.914260,2.39806,1.433649289099526,19.358,-0.5025162972751712,-1.69258297396216,-0.5322081961723836,-0.031833540644846774,-0.7187099688688887,0.6304431767578729
34.0,Molded Fiber Material 34,Molded Fiber,7.85,29.8,6.44,5.22,78.53,1.65,2026-02-15 21:29:14.914260,1.120734,4.757575757575758,28.631,0.5559807769456158,-0.07407415005925885,0.008688613917737559,0.10648471902605272,0.7002635261325241,-0.9400481647223831
35.0,Recycled Paper Material 35,Recycled Paper,6.88,8.96,4.0,8.61,92.54,1.67,2026-02-15 21:29:14.914260,0.642305999999999,4.119760479041917,31.714,-0.014431535273363834,-1.419495924695735,-1.2603385174475468,1.5717937824146468,1.423955505199499,-0.9278264422205912
36.0,Compostable Polymer Material 36,Compostable Polymer,6.95,10.62,9.11,3.59,75.71,3.125,2026-02-15 21:29:14.914260,0.8720110000000004,2.224,28.226,0.026732239835222497,-1.3123270117448451,1.397337155206798,-0.5980739161725929,0.5545953333438821,-0.038696130215232195
37.0,Recycled Plastic Material 37,Recycled Plastic,8.92,33.38,6.57,1.49,41.79,1.8,2026-02-15 21:29:14.914260,0.8673290000000001,4.955555555555556,18.076,1.1851984821768615,0.15704916823242002,0.07630071517900264,-1.5057874952628723,-1.1975554111209128,-0.8483852459589439
38.0,Glass Material 38,Glass,5.7,7.87,6.11,8.35,62.26,3.125,2026-02-15 21:29:14.914260,3.1512900000000004,1.824,22.790999999999997,-0.7083351728181019,-1.4898658735610786,-0.16294210466855089,1.459410196432041,-0.1401696287154188,-0.038696130215232195
39.0,Compostable Polymer Material 39,Compostable Polymer,8.1,46.0,9.57,5.02,99.52,4.62,2026-02-15 21:29:14.914260,0.02409600000000013,1.753246753246753,35.967,0.7029942594762806,0.9717911450036449,1.636579975054352,0.020035806731740293,1.7845101100451433,0.8748776267937106
40.0,Recycled Paper Material 40,Recycled Paper,8.71,31.2,4.79,7.58,60.1,1.99,2026-02-15 21:29:14.914260,3.02442,4.376884422110553,22.951,1.0617071568511036,0.016309270501732743,-0.8494649790137047,1.1265818840989386,-0.25174526574501643,-0.7322788821919212
41.0,Bioplastic Material 41,Bioplastic,6.88,10.35,8.95,4.9,65.225,4.28,2026-02-15 21:29:14.914260,1.7039750000000002,1.6074766355140186,25.0045,-0.014431535273363834,-1.3297580999958933,1.3141222613467791,-0.031833540644846774,0.012988595262709493,0.6671083442632488
42.0,Recycled Paper Material 42,Recycled Paper,7.37,30.84,8.83,6.94,77.08,1.02,2026-02-15 21:29:14.914260,1.5906480000000005,7.2254901960784315,28.721,0.2737148904867394,-0.0069321804996650815,1.2517110909517657,0.8499453647571391,0.6253632142376551,-1.325032423528827
43.0,Recycled Paper Material 43,Recycled Paper,9.7,29.8,9.43,4.9,80.41,1.8599999999999999,2026-02-15 21:29:14.914260,0.9599100000000005,5.21505376344086,30.831999999999997,1.6438805476725356,-0.07407415005925885,1.5637669429268353,-0.031833540644846774,0.797375654658285,-0.8117200784535684
44.0,Recycled Plastic Material 44,Recycled Plastic,8.1,45.83,7.2,4.9,50.74,4.87,2026-02-15 21:29:14.914260,2.4137399999999998,1.6632443531827514,20.622,0.7029942594762806,0.9608160153640959,0.40395935975282593,-0.031833540644846774,-0.7352396928732735,1.0276491580661091
45.0,Aluminum Material 45,Aluminum,8.09,29.8,7.52,7.7,44.31,0.99,2026-02-15 21:29:14.914260,4.28813,8.171717171717171,18.785,0.6971137201750541,-0.07407415005925885,0.5703891474728628,1.178451231475526,-1.0673838345863818,-1.3433650072815149
46.0,Glass Material 46,Glass,4.63,15.73,6.22,7.9,77.56,0.79,2026-02-15 21:29:14.914260,1.7727599999999994,5.860759493670885,26.986,-1.3375528780493477,-0.9824275266972253,-0.10573186513978838,1.2649001437698384,0.6501578002442325,-1.4655822322994336
47.0,Compostable Polymer Material 47,Compostable Polymer,5.32,22.52,4.06,6.95,70.26,3.125,2026-02-15 21:29:14.914260,2.06693,1.7024000000000001,24.424,-0.9317956662647124,-0.5440679369764158,-1.22913293225004,0.8542678103718547,0.27307347139420307,-0.038696130215232195
48.0,Recycled Paper Material 48,Recycled Paper,4.56,51.61,3.77,5.72,77.14,1.07,2026-02-15 21:29:14.914260,1.307592,4.261682242990654,26.097,-1.378716653157934,1.3339704231087617,-1.3799599273713234,0.3226069997618336,0.6284625374884774,-1.2944781172743474
49.0,Recycled Paper Material 49,Recycled Paper,6.31,10.49,6.93,4.33,51.79,3.22,2026-02-15 21:29:14.914260,2.087493,1.9596273291925463,20.14,-0.3496222754432799,-1.3207197579397942,0.2635342263640442,-0.27821294068363706,-0.6810015359838859,0.019357051668279335
50.0,Bioplastic Material 50,Bioplastic,5.98,38.7,5.87,1.64,40.33,4.54,2026-02-15 21:29:14.914260,0.9785879999999999,1.3171806167400881,16.252,-0.543680072383757,0.5005061663641884,-0.28776444545857893,-1.4409508110421383,-1.2729722768909186,0.8259907367865431
